question.code,question,state,year,applies to,response,citations,cautions,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,1991,All,Yes,Haw. Rev. Stat. §134-2,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,1991,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,1991,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,1991,All,Yes,Iowa Code § 724.15,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,1991,All,Yes,§ 571.090 R.S.Mo,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,1991,All,Yes,"Ill. Rev. Stat., Ch. 38, para. 83-2; Ill. Rev. Stat., Ch. Ch.38, para. 83-3",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,1991,All,Yes,"Tenn. Code Ann. § 39-17-1316(b)(1), (d)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,1991,All,Yes,"MCLS §§ 28.422, 28.426",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,1991,All,Yes,N.C. Gen. Stat. § 14-402(a),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,1991,All,Yes,18 Pa. Cons. Stat. § 6111(b),"At the time of purchase, a buyer must fill out an application for purchase, which the seller then sends to local law enforcement. The firearm cannot be delivered until 48 hours elapse from the time of application.",
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,1991,All,Yes,D.C. Code § 6-2311, D.C. Code § 6-2352,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,1991,All,Yes,N.Y. Penal Law § 400.00(4),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,1991,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,1991,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,1991,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2), R.I. Gen. Laws § 11-47-35.2(b),
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,1991,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,1992,All,Yes,Haw. Rev. Stat. §134-2,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,1992,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,1992,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,1992,All,No,,,
